Sample_Number,Species,Region,Island,Stage,Individual_ID,Clutch_Completion,Date_Egg,Culmen_Length_mm_,Culmen_Depth_mm_,Flipper_Length_mm_,Body_Mass_g_,Sex,Delta_15_N_o/oo_,Delta_13_C_o/oo_,Comments
16,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A2,Yes,2007-12-03,49.3,15.7,217,5850,MALE,8.07137,-25.52473,NA
17,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,2007-11-27,42,13.5,210,4150,FEMALE,7.63884,-25.52627,NA
18,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,2007-11-27,49.2,15.2,221,6300,MALE,8.27376,-25.00169,NA
19,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A1,Yes,2007-11-27,46.2,14.5,209,48,FEMALE,7.84057,-25.37899,NA
20,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,Yes,2007-11-27,48.7,15.1,222,5350,MALE,7.96491,-25.39587,NA
21,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N41A1,Yes,2007-11-27,50.2,14.3,218,5700,MALE,7.8962,-25.37746,NA
22,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N41A2,Yes,2007-11-27,45.1,14.5,215,5000,FEMALE,7.6322,-25.46569,NA
23,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,2007-11-27,46.5,14.5,213,4400,FEMALE,7.90436,-25.3947,NA
24,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,2007-11-27,46.3,15.8,215,5050,MALE,7.90971,-25.38157,NA
25,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A1,Yes,2007-11-29,42.9,13.1,215,5000,FEMALE,7.68528,-25.39181,NA
26,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A2,Yes,2007-11-29,46.1,15.1,215,5100,MALE,7.83733,-25.42826,NA
27,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N46A1,Yes,2007-11-29,44.5,14.3,216,4100,Unknown,7.96621,-25.69327,Sexing primers did not amplify.
28,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N46A2,Yes,2007-11-29,47.8,15,215,5650,MALE,7.92358,-25.48383,NA
29,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2007-11-29,48.2,14.3,210,4600,FEMALE,7.6887,-25.50811,NA
30,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2007-11-29,50,15.3,220,5550,MALE,8.30515,-25.19017,NA
31,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N50A1,Yes,2007-11-29,47.3,15.3,222,5250,MALE,8.733381696969698,-25.686291540785497,Not enough blood for isotopes.
32,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N50A2,Yes,2007-11-29,42.8,14.2,209,4700,FEMALE,7.63452,-25.46327,NA
33,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,2007-12-03,45.1,14.5,207,5050,FEMALE,7.97408,-25.53768,NA
34,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,2007-12-03,59.6,17,230,6050,MALE,7.76843,-25.6821,NA
35,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A1,Yes,2008-11-13,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405,NA
36,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A2,Yes,2008-11-13,48.4,16.3,220,5400,MALE,8.03659,-26.86127,NA
37,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A1,Yes,2008-11-02,42.6,13.7,213,4950,FEMALE,7.96935,-26.70968,NA
38,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A2,Yes,2008-11-02,44.4,17.3,219,5250,MALE,8.13746,-26.79093,NA
39,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A1,Yes,2008-11-09,44,13.6,208,4350,FEMALE,8.01979,-26.68311,NA
40,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A2,Yes,2008-11-09,48.7,15.7,208,5350,MALE,8.14776,-26.84506,NA
41,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,No,2008-11-04,42.7,13.7,208,3950,FEMALE,8.14567,-26.59467,Nest never observed with full clutch.
42,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,No,2008-11-04,49.6,16,225,5700,MALE,8.38324,-26.84272,Nest never observed with full clutch.
43,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N7A1,Yes,2008-11-04,45.3,13.7,210,4300,FEMALE,8.37615,-26.72791,NA
44,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N7A2,Yes,2008-11-04,49.6,15,216,4750,MALE,8.26548,-26.7699,NA
45,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,2008-11-03,50.5,15.9,222,5550,MALE,8.46894,-26.60436,NA
46,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,2008-11-03,43.6,13.9,217,4900,FEMALE,8.27141,-26.7765,NA
47,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,2008-11-09,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788,Nest never observed with full clutch.
48,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,No,2008-11-09,50.5,15.9,225,5400,MALE,8.65803,-26.57585,Nest never observed with full clutch.
49,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2008-11-02,44.9,13.3,213,5100,FEMALE,8.45167,-26.89644,NA
50,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2008-11-02,45.2,15.8,215,5300,MALE,8.55868,-26.67799,NA
51,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2008-11-04,46.6,14.2,210,4850,FEMALE,8.38289,-26.86352,NA
52,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2008-11-04,48.5,14.1,220,5300,MALE,8.39867,-26.79358,NA
53,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,2008-11-04,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854,NA
54,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,2008-11-04,50.1,15,225,5000,MALE,8.50153,-26.61414,NA
55,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,2008-11-04,46.5,14.4,217,4900,FEMALE,8.48789,-26.83006,NA
56,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,2008-11-04,45,15.4,220,5050,MALE,8.63488,-26.75621,NA
57,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,2008-11-03,43.8,13.9,208,4300,FEMALE,8.58319,-26.84415,NA
58,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N16A2,Yes,2008-11-03,45.5,15,220,5000,MALE,8.63604,-26.7489,NA
59,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2008-11-06,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485,NA
60,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2008-11-06,50.4,15.3,224,5550,MALE,8.74647,-26.79846,NA
61,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,2008-11-03,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053,NA
62,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,2008-11-03,46.2,14.9,221,5300,MALE,8.60092,-26.84374,NA
63,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,2008-11-13,45.7,13.9,214,4400,FEMALE,8.6287,-26.60484,NA
64,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,2008-11-13,54.3,15.7,231,5650,MALE,8.49662,-26.84166,NA
65,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,2008-11-04,45.8,14.2,219,4700,FEMALE,8.60447,-26.61601,NA
66,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,2008-11-04,49.8,16.8,230,5700,MALE,8.47067,-26.69166,NA
67,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,2008-11-09,46.2,14.4,214,4650,Unknown,8.24253,-26.8154,Sexing primers did not amplify.
68,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2008-11-09,49.5,16.2,229,5800,MALE,8.49854,-26.74809,NA
69,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2008-11-13,43.5,14.2,220,47,FEMALE,8.64931,-26.68867,NA
70,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2008-11-13,50.7,15,223,5550,MALE,8.63551,-26.74249,NA
71,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N54A1,Yes,2008-11-03,47.7,15,216,4750,FEMALE,8.53018,-26.72751,NA
72,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N54A2,Yes,2008-11-03,46.4,15.6,221,5000,MALE,8.35078,-26.70783,NA
73,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2008-11-09,48.2,15.6,221,5100,MALE,8.24651,-26.66958,NA
74,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2008-11-09,46.5,14.8,217,5200,FEMALE,8.58487,-26.5929,NA
75,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,2008-11-06,46.4,15,216,4700,FEMALE,8.47938,-26.9547,NA
76,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,2008-11-06,48.6,16,230,5800,MALE,8.5964,-26.71199,NA
77,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2008-11-06,47.5,14.2,209,4600,FEMALE,8.39299,-26.78733,NA
78,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2008-11-06,511,16.3,220,6000,MALE,8.40327,-26.76821,NA
79,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2008-11-09,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359,NA
80,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2008-11-09,45.2,16.4,223,5950,MALE,8.19749,-26.65931,NA
81,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N1A1,Yes,2009-11-18,49.1,14.5,212,4625,FEMALE,8.35802,-26.2766,NA
82,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N1A2,Yes,2009-11-18,52.5,15.6,221,5450,MALE,8.28601,-26.27573,NA
83,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,Yes,2009-11-15,47.4,14.6,212,4725,FEMALE,8.19101,-26.24369,NA
84,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,Yes,2009-11-15,50,15.9,224,5350,MALE,8.20042,-26.39677,NA
85,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,2009-11-22,44.9,13.8,212,4750,FEMALE,8.11238,-26.20372,NA
86,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,2009-11-22,50.8,17.3,228,5600,MALE,8.27428,-26.30019,NA
87,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2009-11-20,43.4,14.4,218,4600,FEMALE,8.2346800000000009,-26.18599,NA
88,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2009-11-20,51.3,14.2,218,5300,MALE,8.15426,-26.3433,NA
89,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,2009-11-25,47.5,14,212,4875,FEMALE,8.12691,-26.23613,NA
90,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,2009-11-25,52.1,17,230,5550,MALE,8.27595,-26.11657,NA
91,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,2009-11-25,47.5,15,218,4950,FEMALE,8.29671,-26.08547,NA
92,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,2009-11-25,52.2,17.1,228,5400,MALE,8.36701,-25.89834,NA
93,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,2009-12-01,45.5,14.5,212,4750,FEMALE,8.15566,-26.22848,NA
94,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,2009-12-01,49.5,16.1,224,5650,MALE,8.83352,-25.69195,NA
95,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,2009-11-27,44.5,14.7,214,4850,FEMALE,8.20106,-26.16524,NA
96,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,2009-11-27,50.8,15.7,226,5200,MALE,8.27102,-26.11244,NA
97,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,2009-11-18,49.4,15.8,216,4925,MALE,8.03624,-26.06594,NA
98,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,2009-11-18,46.9,14.6,222,4875,FEMALE,7.8881,-26.04726,NA
99,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2009-11-18,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971,NA
100,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2009-11-18,51.1,16.5,225,5250,MALE,8.2066,-26.36863,NA
101,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2009-11-22,48.5,15,219,4850,FEMALE,8.10231,-26.18763,NA
102,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2009-11-22,55.9,17,228,5600,MALE,8.3118,-26.35425,NA
103,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2009-11-18,47.2,15.5,215,4975,FEMALE,8.30817,-26.21651,NA
104,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2009-11-18,49.1,15,228,5500,MALE,8.65914,-25.79203,NA
105,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,2009-12-01,47.3,13.8,216,4725,Unknown,8.25818,-26.23886,Sexing primers did not amplify.
106,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2009-12-01,46.8,16.1,215,5500,MALE,8.32359,-26.05756,NA
107,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2009-11-10,41.7,14.7,210,4700,FEMALE,8.12311,-26.44815,NA
108,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2009-11-10,53.4,15.8,219,5500,MALE,8.41017,-26.33867,NA
109,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2009-11-09,43.3,14,208,4575,FEMALE,8.4207,-26.38092,NA
110,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2009-11-09,48.1,15.1,209,5500,MALE,8.45738,-26.22664,NA
111,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,2009-11-20,50.5,15.2,216,50,FEMALE,8.24691,-26.18466,NA
112,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,2009-11-20,49.8,15.9,229,5950,MALE,8.29226,-26.21019,NA
113,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,2009-11-27,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046,NA
114,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,2009-11-27,51.5,16.3,230,5500,MALE,8.78557,-25.76147,NA
115,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,2009-11-25,46.2,14.1,217,4375,FEMALE,8.30231,-25.96013,NA
116,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,2009-11-25,55.1,16,230,5850,MALE,8.08354,-26.18161,NA
117,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,Yes,2009-12-01,44.5,15.7,217,4875,Unknown,8.04111,-26.18444,Sexing primers did not amplify.
118,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,Yes,2009-12-01,48.8,16.2,222,6000,MALE,8.33825,-25.88547,NA
119,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,No,2009-12-01,47.2,13.7,214,4925,FEMALE,7.99184,-26.20538,Nest never observed with full clutch.
120,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A2,No,2009-12-01,NA,17.151169590643274,200.91520467836256,4159.780701754387,Unknown,8.733381696969698,-25.686291540785497,Adult not sampled. Nest never observed with full clutch.
121,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,2009-11-22,46.8,14.3,215,4850,FEMALE,8.41151,-26.13832,NA
122,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,2009-11-22,50.4,15.7,222,5750,MALE,8.30166,-26.04117,NA
123,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N43A1,Yes,2009-11-22,45.2,14.8,212,5200,FEMALE,8.24246,-26.11969,NA
124,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N43A2,Yes,2009-11-22,49.9,16.1,213,5400,MALE,8.3639,-26.15531,NA
1,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2007-11-19,46.5,17.9,192,3500,FEMALE,9.03935,-24.30229,Nest never observed with full clutch.
2,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2007-11-19,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.
3,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,2007-11-26,51.3,19.2,193,3650,MALE,9.29078,-24.7557,NA
4,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,2007-11-26,45.4,18.7,188,3525,FEMALE,8.64701,-24.62717,NA
5,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N64A1,Yes,2007-11-21,52.7,19.8,197,3725,MALE,9.00642,-24.61867,NA
6,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N64A2,Yes,2007-11-21,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433,NA
7,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N66A1,Yes,2007-11-28,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644,NA
8,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N66A2,Yes,2007-11-28,51.3,18.2,197,3750,MALE,8.63701,-24.84059,NA
9,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A1,Yes,2007-11-21,46,18.9,195,4150,FEMALE,8.47173,-24.29229,NA
10,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,2007-11-21,51.3,19.9,198,3700,MALE,8.79581,-24.36088,NA
11,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N68A1,Yes,2007-11-28,46.6,17.8,193,3800,FEMALE,8.95063,-24.59897,NA
12,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N68A2,Yes,2007-11-28,51.7,20.3,194,3775,MALE,8.68747,-24.38751,NA
13,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,2007-11-26,47,17.3,185,3700,FEMALE,8.72037,-24.80526,NA
14,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,2007-11-26,52,18.1,201,4050,MALE,9.0233,-24.38933,NA
15,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N70A1,Yes,2007-11-22,45.9,17.1,190,3575,FEMALE,9.12277,-24.90024,NA
16,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N70A2,Yes,2007-11-22,50.5,19.6,201,4050,MALE,9.8059,-24.7294,NA
17,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N71A1,No,2007-11-30,50.3,20,197,3300,MALE,10.02019,-24.54704,Nest never observed with full clutch.
18,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N71A2,No,2007-11-30,58,17.8,181,3700,FEMALE,9.14382,-24.57994,Nest never observed with full clutch.
19,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A1,Yes,2007-11-30,46.4,18.6,190,3450,FEMALE,9.32105,-24.64162,NA
20,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,2007-11-30,49.2,18.2,195,4400,MALE,9.27158,-24.64335,NA
21,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N73A1,Yes,2007-12-03,42.4,17.3,181,3600,FEMALE,9.35138,-24.6879,NA
22,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N73A2,Yes,2007-12-03,48.5,17.5,191,3400,MALE,9.42666,-24.26375,NA
23,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,No,2007-11-28,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,Nest never observed with full clutch.
24,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,No,2007-11-28,50.6,19.4,193,3800,MALE,9.28153,-24.97134,Nest never observed with full clutch.
25,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N89A1,No,2007-11-28,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,Nest never observed with full clutch.
26,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N89A2,No,2007-11-28,52,19,197,4150,MALE,9.36799,-24.47142,Nest never observed with full clutch.
27,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2008-11-25,50.5,18.4,200,3400,FEMALE,8.9399,-23.89017,Nest never observed with full clutch.
28,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2008-11-25,49.5,19,200,3800,MALE,9.63074,-24.34684,Nest never observed with full clutch.
29,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,2008-11-14,46.4,17.8,191,3700,FEMALE,9.37369,-24.52896,NA
30,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,2008-11-14,52.8,20,205,4550,MALE,9.25177,-24.69638,NA
31,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N63A1,Yes,2008-11-24,40.9,16.6,187,3200,FEMALE,9.08458,-24.54903,NA
32,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N63A2,Yes,2008-11-24,54.2,20.8,201,4300,MALE,9.49283,-24.59996,NA
33,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N65A1,Yes,2008-11-24,42.5,16.7,187,3350,FEMALE,9.36668,-24.45195,NA
34,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N65A2,Yes,2008-11-24,51,18.8,203,4100,MALE,9.23196,-24.17282,NA
35,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A1,Yes,2008-11-25,49.7,18.6,195,3600,MALE,9.75486,-24.31198,NA
36,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,2008-11-25,47.5,16.8,199,3900,FEMALE,9.07825,-25.1455,NA
37,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,2008-11-14,47.6,18.3,195,3850,FEMALE,8.83502,-24.65859,NA
38,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,2008-11-14,52,20.7,210,4800,MALE,9.43146,-24.6844,NA
39,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A1,No,2008-11-24,46.9,16.6,192,2700,FEMALE,9.80589,-24.73735,Nest never observed with full clutch.
40,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,No,2008-11-24,53.5,19.9,205,4500,MALE,10.02544,-24.90816,Nest never observed with full clutch.
41,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N74A1,Yes,2008-11-24,49,19.5,210,3950,MALE,9.53262,-24.66867,NA
42,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N74A2,Yes,2008-11-24,46.2,17.5,187,3650,FEMALE,9.61734,-24.66188,NA
43,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N75A1,Yes,2008-11-14,50.9,19.1,196,3550,MALE,10.02372,-24.86594,NA
44,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N75A2,Yes,2008-11-14,45.5,17,196,3500,FEMALE,9.36493,-24.66259,NA
45,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A1,Yes,2009-11-17,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566,NA
46,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A2,Yes,2009-11-17,50.8,18.5,201,4450,MALE,9.45827,-24.35575,NA
47,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N87A1,Yes,2009-11-27,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,NA
48,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N87A2,Yes,2009-11-27,49,19.6,212,4300,MALE,9.34089,-24.45189,NA
49,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N88A1,Yes,2009-11-23,51.5,18.7,187,3250,MALE,9.6895,-24.43062,NA
50,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N88A2,Yes,2009-11-23,49.8,17.3,198,3675,FEMALE,9.32169,-24.41562,NA
51,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N90A1,Yes,2009-11-21,48.1,16.4,199,3325,FEMALE,9.46929,-24.48403,NA
52,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N90A2,Yes,2009-11-21,51.4,19,201,3950,MALE,9.43782,-24.36202,NA
53,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N92A1,Yes,2009-11-23,457,17.3,193,3600,FEMALE,9.415,-24.805,NA
54,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N92A2,Yes,2009-11-23,50.7,19.7,203,4050,MALE,9.93727,-24.59066,NA
55,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N93A1,Yes,2009-11-27,42.5,17.3,187,3350,FEMALE,9.56534,-24.60882,NA
56,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N93A2,Yes,2009-11-27,52.2,18.8,197,3450,MALE,9.77528,-24.56481,NA
57,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N94A1,Yes,2009-11-21,45.2,16.6,191,3250,FEMALE,9.62357,-24.78984,NA
58,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N94A2,Yes,2009-11-21,49.3,19.9,203,4050,MALE,9.88809,-24.59513,NA
59,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,2009-11-21,50.2,18.8,202,3800,MALE,9.74492,-24.404,NA
